SMZ,State,Percent TEA,Percent PFA,Old METRO,New METRO,Balt METRO,New Balt,Existing Light Rail,New Light Rail,Existing Commuter Rail,New Commuter Rail,New Interchanges,Accessibility,Town,Town_adjacent
117,24,0,58.02886328,0,0,0,0,0,0,0,0,0,9.901886,0,0
118,24,0,84.83647838,0,0,0,1,0,1,1,0,0,0,0,0
119,24,0,98.43769227,0,0,0,0,0,0,0,0,0,0,0,0
120,24,0,99.99999979,0,0,0,1,0,0,0,0,0,21.261535,0,0
121,24,0,97.14712812,0,0,0,0,0,0,0,0,0,12.860177,0,0
122,24,0,100.000001,0,0,0,0,0,0,0,0,0,9.403385,0,0
123,24,0,100.0000005,0,0,0,0,0,0,0,1,0,56.285791,0,0
124,24,0,100.0000004,0,0,0,0,1,0,0,0,0,168.205545,0,0
125,24,0,100.0000009,0,0,0,0,0,0,0,0,0,9.137457,0,0
126,24,0,99.99999933,0,0,0,0,0,0,0,0,0,72.929271,0,0
127,24,0,99.99999711,0,0,0,0,0,0,0,0,0,85.170719,0,0
128,24,0,93.4042019,0,0,0,0,0,0,0,0,0,0,0,0
129,24,0,94.70445517,0,0,0,0,0,0,0,0,0,0,0,0
130,24,0,99.6438167,0,0,0,0,0,0,0,0,0,1.710111,0,0
131,24,0,62.56509527,0,0,0,0,0,0,0,0,0,0.00613,0,0
132,24,0,97.42889238,0,0,0,0,0,0,0,0,0,0,0,0
133,24,0,98.68119882,0,0,0,0,0,0,0,0,0,0.061775,0,0
134,24,0,73.56256694,0,0,0,0,0,0,0,0,0,0.813181,0,0
135,24,0,100.0000015,0,0,0,0,0,0,0,0,0,0.14492,0,0
136,24,0,93.36327735,0,0,0,0,0,0,0,0,0,0,0,0
137,24,0,41.19595274,0,0,0,0,0,0,0,0,0,0,0,0
138,24,31.10462004,43.57127077,0,0,0,0,0,0,1,0,0,0,0,0
139,24,87.69640982,48.83353344,0,0,0,0,0,0,0,0,0,0,0,0
140,24,3.450415884,56.66533719,0,0,0,0,0,0,0,0,0,0.019421,0,0
141,24,0,100.0000016,0,0,0,0,0,0,0,0,0,9.924848,0,0
142,24,0,97.43928316,0,0,0,0,0,0,0,0,0,0,0,0
143,24,0,7.516428303,0,0,0,0,0,0,0,0,0,0,0,0
144,24,0,90.49474627,0,0,0,0,0,0,0,0,0,0,0,0
145,24,0,50.48857381,0,0,0,0,0,0,0,0,0,0,0,0
146,24,0,99.99999958,0,0,0,0,0,0,0,0,0,11.238079,0,0
147,24,0,73.39252306,0,0,0,0,0,0,0,0,0,0,0,0
148,24,0,82.25205071,0,0,0,0,0,0,0,1,0,5.042238,0,0
149,24,0,59.83891836,0,0,0,0,0,0,0,0,0,0,0,0
150,24,0,28.43775708,0,0,0,0,0,0,0,0,0,0.027147,0,0
151,24,0,95.14238637,0,0,0,0,0,0,0,0,0,0,0,0
152,24,0,77.78025891,0,0,0,0,0,0,0,0,0,0.293253,0,0
153,24,0,90.41972688,0,0,0,0,0,0,0,1,0,1.35796,0,0
154,24,0,51.84489043,0,0,0,0,0,0,0,1,0,0,0,0
155,24,0,25.33802406,0,0,0,0,0,0,0,0,0,0.006681,0,0
156,24,0,1.137086371,0,0,0,0,0,0,0,0,0,0,0,0
157,24,0,92.96562746,0,0,0,0,0,0,0,0,0,0.010164,0,0
158,24,0,98.76212264,0,0,0,0,0,0,0,0,0,0,0,0
159,24,0,80.70592481,0,0,0,0,0,0,0,0,0,0.006686,0,0
160,24,0,8.232818969,0,0,0,0,0,0,0,0,0,0,0,0
161,24,0,6.310238353,0,0,0,0,0,0,0,0,0,0,0,0
162,24,0,99.16822042,0,0,0,0,0,0,0,0,0,0,0,0
163,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,24,5.706196348,77.1902977,0,0,0,0,0,0,1,0,0,0,0,1
165,24,0,45.92609116,0,0,0,0,0,0,0,0,0,1.491602,0,1
166,24,9.167077471,90.36315201,0,0,0,0,0,0,0,0,0,0,0,0
167,24,0.24925651,37.2995769,0,0,0,0,0,0,0,0,0,0,0,0
168,24,0,88.50302688,0,0,0,0,0,0,1,0,0,7.78187,0,0
169,24,0,98.85023823,0,0,0,0,0,0,0,0,0,0.091555,0,0
170,24,0,11.16973697,0,0,0,0,0,0,0,0,0,0,0,0
171,24,0,7.262500715,0,0,0,0,0,0,0,0,0,1.312976,0,0
172,24,0,90.00159748,0,0,0,0,0,0,0,0,0,0,0,0
173,24,0,82.2490925,0,0,0,0,0,0,1,0,0,0.006646,0,0
174,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,24,5.397103605,0.073808891,0,0,0,0,0,0,0,0,0,0,0,0
176,24,0,31.10561041,0,0,0,0,0,0,0,0,0,0,0,0
177,24,0,82.27482265,0,0,0,0,0,0,0,0,0,0,0,0
178,24,0,30.55846278,0,0,0,0,0,0,0,0,0,0,0,0
179,24,0,82.79065321,0,0,0,0,0,0,0,0,0,0,0,0
180,24,0,0.096081036,0,0,0,0,0,0,0,0,0,0,0,0
181,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,24,0,2.012930384,0,0,0,0,0,0,0,0,0,0,0,0
183,24,0,2.920374062,0,0,0,0,0,0,0,0,0,0,0,0
184,24,0,59.24441953,0,0,0,0,0,0,0,0,0,0,0,0
185,24,0,19.08623934,0,0,0,0,0,0,0,0,0,0,0,0
186,24,0,55.97647405,0,0,0,0,0,0,0,0,0,0,0,0
187,24,0,70.98614502,0,0,0,0,0,0,0,1,0,0.000029,0,1
188,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,24,0,1.793805306,0,0,0,0,0,0,0,0,0,0,0,0
190,24,0,58.60244351,0,0,0,0,0,0,0,1,0,0,0,1
191,24,0,90.87615227,0,0,0,0,0,0,0,0,0,0.271599,0,0
192,24,0,15.46463827,0,0,0,0,0,0,0,0,0,0.53562,0,0
193,24,0,25.19236487,0,0,0,0,0,0,0,0,0,0,0,0
194,24,0,95.51031067,0,0,0,0,0,0,0,0,0,0,0,0
195,24,0,73.47671914,0,0,0,0,0,0,0,0,0,0,0,0
196,24,0,95.42905804,0,0,0,0,0,0,0,0,0,0,0,0
197,24,0,10.77498251,0,0,0,0,0,0,0,0,0,0,0,0
198,24,0,0.615238787,0,0,0,0,0,0,0,0,0,0,0,0
199,24,0,30.8975168,0,0,0,0,0,0,0,1,0,560.664832,0,0
200,24,0,98.78500092,0,0,0,0,0,0,0,0,0,44.832664,1,0
201,24,0,29.23668031,0,0,0,0,0,0,0,0,0,0,0,1
202,24,0,92.29775332,0,0,0,0,0,0,0,1,0,212.407214,0,0
203,24,0,95.16314799,0,0,0,0,0,0,0,0,0,0,0,1
204,24,0,75.22159655,0,0,0,0,0,0,0,0,0,0,0,1
205,24,0,85.93609412,0,0,0,0,0,0,0,0,0,0,0,0
206,24,0,28.29819858,0,0,0,0,0,0,0,0,0,0,0,0
207,24,0,73.28219248,0,0,0,0,0,0,0,0,0,0,0,0
208,24,0,63.73968507,0,0,0,0,0,0,0,0,0,0,0,0
209,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,24,0,0.197248654,0,0,0,0,0,0,0,0,0,0,0,0
211,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,24,0,2.486282537,0,0,0,0,0,0,0,0,0,0,0,0
213,24,0,0,0,0,0,0,0,0,0,0,0,0.319213,0,0
214,24,0,1.015446353,0,0,0,0,0,0,0,0,0,0,0,0
215,24,0,17.85382806,0,0,0,0,0,0,0,0,0,0,0,0
216,24,0,3.591436399,0,0,0,0,0,0,0,0,0,0,0,0
217,24,0,43.87942425,0,0,0,0,0,0,0,0,0,0,0,0
218,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,24,0,0.013022679,0,0,0,0,0,0,0,0,0,0,0,0
224,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,24,0,0.650450993,0,0,0,0,0,0,0,0,0,0,0,0
226,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,24,0,0.672907977,0,0,0,0,0,0,0,0,0,0,0,0
228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,24,0,26.70055449,0,0,0,0,0,0,0,0,1,0,0,0
230,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,24,0,99.9999987,0,0,0,0,0,0,0,0,1,0.671413,0,0
236,24,0,99.99999898,0,0,1,0,0,0,0,0,1,117.955996,0,0
237,24,0,100.0000003,0,0,1,0,0,0,0,0,1,69.607761,0,0
238,24,0,29.5320875,0,0,0,0,0,0,0,0,0,0,0,0
239,24,0,100.0000001,0,0,0,0,0,0,0,0,0,3.811758,0,0
240,24,0,85.35366932,0,0,0,0,0,0,0,0,0,0.219566,0,0
241,24,0,78.9375461,0,0,0,0,0,0,0,0,0,1.536336,0,0
242,24,0,100.000001,0,0,0,0,0,0,0,0,0,6.089555,0,0
243,24,0,35.99505031,0,0,0,0,0,0,0,0,0,0,0,0
244,24,0,100.0000003,0,0,0,0,0,0,0,0,0,10.927824,0,0
245,24,0,9.786833684,0,0,0,0,0,0,0,0,1,0,0,0
246,24,0,4.926135216,0,0,0,0,0,0,0,0,1,0,0,0
247,24,0,4.84892263,0,0,0,0,0,0,0,0,0,0,0,0
248,24,0,99.99999999,0,0,0,0,0,0,0,0,0,955.090481,0,0
