"","inf.cap","access.beta","operating.cost","dist.to.wrk","val.of.access","tr.times","policy","core.hh","inner.hh","outer.hh","beyond.hh","env.area.hh","high.access.hh","cost.burdened.hh","median.hh.price"
"42",0.826917901851935,0.178441465414129,0.85300453340169,0.0127712658781093,0.797741425571963,0,"baseline",823119,2430257,589979,1877324,360606,292047,1162135,706
"43",0.933299833453028,0.892543883244041,0.96626981391781,0.237393551604822,0.862312747940188,1,"baseline",865712,2439158,573585,1828004,354859,309040,1157681,705
"44",0.672823368906043,0.658912231271155,0.208723452961538,0.0811442263335921,0.467457675037207,1,"baseline",861655,2417531,571813,1841110,351982,305602,1152231,704
"45",0.225173553421162,0.88744420605083,0.211746146471938,0.247410098677035,0.174635558921611,1,"baseline",865424,2380353,579078,1855323,350087,304788,1162895,726
"46",0.442204800635809,0.634832572551444,0.837720585119212,0.536211976242485,0.960159067278262,0,"baseline",840483,2369133,614513,1897169,361260,298314,1180029,716
"47",0.247353763735853,0.816601710683201,0.013166075443849,0.597661035191035,0.67147236991697,1,"baseline",871927,2382130,593577,1850171,351119,308923,1178191,722
"48",0.23576610392984,0.629939351185923,0.777586981624132,0.129975791451521,0.404755405596225,0,"baseline",825527,2381176,600112,1896852,355768,290529,1174289,714
"49",0.967788476580521,0.166127016190207,0.439257814795245,0.580112090012291,0.753746804070659,0,"baseline",832837,2402704,611138,1887019,365755,295997,1175711,713
"50",0.526745844645891,0.950870335387765,0.969817635863321,0.463804008964216,0.165931055925786,0,"baseline",821630,2380878,610637,1902777,361043,289168,1173225,701
"51",0.605185292276554,0.469448998734122,0.685863492804114,0.981254217362497,0.800826821337454,1,"baseline",862309,2388536,608187,1864724,358118,305676,1177456,720
"52",0.884474343671231,0.967792674043682,0.75937254160014,0.991256348497002,0.0952491956634913,0,"baseline",814247,2377825,627850,1918417,366209,287498,1169890,669
"53",0.934375878761988,0.07916281676176,0.78395600814675,0.959929060597671,0.991459140803665,0,"baseline",840942,2380427,625500,1903059,367661,298987,1178511,696
"54",0.540333571720868,0.0486699632171076,0.326057146122446,0.370084159821039,0.947576467157342,0,"baseline",843868,2385754,604555,1887414,360641,299852,1175931,714
"55",0.485044787080493,0.143465776311001,0.522604091887828,0.899417946841568,0.545729591573589,0,"baseline",835148,2351880,625894,1916908,363175,294889,1182677,700
"56",0.805472639974207,0.279765278110513,0.0974293609294109,0.282710089601809,0.8579911740073,0,"baseline",832937,2411892,599661,1882088,362177,296012,1171946,713
"57",0.910885634089122,0.175551723995944,0.0535863391328603,0.0932323291143402,0.208539017429575,0,"baseline",810918,2434214,592420,1882816,362002,285938,1160841,696
